=======================================================
swish
Epoch 29, Loss 0.057, Train Accuracy 0.981, Validation Accuracy 0.947, Train F1-Macro 0.980, Validation F1-Macro 0.946, Train F1-Micro 0.981, Validation F1-Micro 0.946
Epoch 30, Loss 0.053, Train Accuracy 0.988, Validation Accuracy 0.948, Train F1-Macro 0.988, Validation F1-Macro 0.948, Train F1-Micro 0.988, Validation F1-Micro 0.948
Epoch 31, Loss 0.051, Train Accuracy 0.991, Validation Accuracy 0.954, Train F1-Macro 0.991, Validation F1-Macro 0.954, Train F1-Micro 0.991, Validation F1-Micro 0.954
Epoch 32, Loss 0.038, Train Accuracy 0.989, Validation Accuracy 0.955, Train F1-Macro 0.988, Validation F1-Macro 0.955, Train F1-Micro 0.989, Validation F1-Micro 0.955
Epoch 33, Loss 0.034, Train Accuracy 0.991, Validation Accuracy 0.954, Train F1-Macro 0.990, Validation F1-Macro 0.954, Train F1-Micro 0.991, Validation F1-Micro 0.954
Epoch 34, Loss 0.031, Train Accuracy 0.991, Validation Accuracy 0.954, Train F1-Macro 0.991, Validation F1-Macro 0.954, Train F1-Micro 0.991, Validation F1-Micro 0.954
Epoch 35, Loss 0.031, Train Accuracy 0.992, Validation Accuracy 0.955, Train F1-Macro 0.992, Validation F1-Macro 0.955, Train F1-Micro 0.992, Validation F1-Micro 0.955
Epoch 36, Loss 0.030, Train Accuracy 0.992, Validation Accuracy 0.955, Train F1-Macro 0.992, Validation F1-Macro 0.955, Train F1-Micro 0.992, Validation F1-Micro 0.955
Epoch 37, Loss 0.029, Train Accuracy 0.994, Validation Accuracy 0.955, Train F1-Macro 0.993, Validation F1-Macro 0.955, Train F1-Micro 0.994, Validation F1-Micro 0.955
Epoch 38, Loss 0.028, Train Accuracy 0.993, Validation Accuracy 0.955, Train F1-Macro 0.992, Validation F1-Macro 0.955, Train F1-Micro 0.993, Validation F1-Micro 0.955
Epoch 39, Loss 0.028, Train Accuracy 0.993, Validation Accuracy 0.955, Train F1-Macro 0.992, Validation F1-Macro 0.955, Train F1-Micro 0.993, Validation F1-Micro 0.955
Epoch 40, Loss 0.027, Train Accuracy 0.994, Validation Accuracy 0.955, Train F1-Macro 0.993, Validation F1-Macro 0.955, Train F1-Micro 0.994, Validation F1-Micro 0.955
Epoch 41, Loss 0.027, Train Accuracy 0.992, Validation Accuracy 0.955, Train F1-Macro 0.991, Validation F1-Macro 0.955, Train F1-Micro 0.992, Validation F1-Micro 0.955


=======================================================
sigmoid
Epoch 0, Loss 2.242, Train Accuracy 0.350, Validation Accuracy 0.358, Train F1-Macro 0.331, Validation F1-Macro 0.327, Train F1-Micro 0.350, Validation F1-Micro 0.327
Epoch 1, Loss 2.100, Train Accuracy 0.637, Validation Accuracy 0.647, Train F1-Macro 0.611, Validation F1-Macro 0.615, Train F1-Micro 0.637, Validation F1-Micro 0.615
Epoch 2, Loss 1.990, Train Accuracy 0.710, Validation Accuracy 0.710, Train F1-Macro 0.689, Validation F1-Macro 0.689, Train F1-Micro 0.710, Validation F1-Micro 0.689
Epoch 3, Loss 1.925, Train Accuracy 0.764, Validation Accuracy 0.776, Train F1-Macro 0.756, Validation F1-Macro 0.766, Train F1-Micro 0.764, Validation F1-Micro 0.766
Epoch 4, Loss 1.889, Train Accuracy 0.808, Validation Accuracy 0.816, Train F1-Macro 0.804, Validation F1-Macro 0.810, Train F1-Micro 0.808, Validation F1-Micro 0.810
Epoch 5, Loss 1.870, Train Accuracy 0.841, Validation Accuracy 0.844, Train F1-Macro 0.839, Validation F1-Macro 0.841, Train F1-Micro 0.841, Validation F1-Micro 0.841
Epoch 6, Loss 1.858, Train Accuracy 0.862, Validation Accuracy 0.861, Train F1-Macro 0.861, Validation F1-Macro 0.858, Train F1-Micro 0.862, Validation F1-Micro 0.858
Epoch 7, Loss 1.848, Train Accuracy 0.878, Validation Accuracy 0.873, Train F1-Macro 0.876, Validation F1-Macro 0.871, Train F1-Micro 0.878, Validation F1-Micro 0.871
Epoch 8, Loss 1.841, Train Accuracy 0.879, Validation Accuracy 0.880, Train F1-Macro 0.878, Validation F1-Macro 0.878, Train F1-Micro 0.879, Validation F1-Micro 0.878
Epoch 9, Loss 1.836, Train Accuracy 0.893, Validation Accuracy 0.886, Train F1-Macro 0.891, Validation F1-Macro 0.884, Train F1-Micro 0.893, Validation F1-Micro 0.884
Epoch 10, Loss 1.833, Train Accuracy 0.896, Validation Accuracy 0.892, Train F1-Macro 0.895, Validation F1-Macro 0.890, Train F1-Micro 0.896, Validation F1-Micro 0.890
Epoch 11, Loss 1.830, Train Accuracy 0.901, Validation Accuracy 0.896, Train F1-Macro 0.901, Validation F1-Macro 0.894, Train F1-Micro 0.901, Validation F1-Micro 0.894
