=======================================================
1 layer
Epoch 44, Loss 0.124, Train Accuracy 0.970, Validation Accuracy 0.922, Train F1-Macro 0.974, Validation F1-Macro 0.921, Train F1-Micro 0.970, Validation F1-Micro 0.921
Epoch 45, Loss 0.108, Train Accuracy 0.965, Validation Accuracy 0.922, Train F1-Macro 0.966, Validation F1-Macro 0.922, Train F1-Micro 0.965, Validation F1-Micro 0.922
Epoch 46, Loss 0.103, Train Accuracy 0.970, Validation Accuracy 0.924, Train F1-Macro 0.974, Validation F1-Macro 0.924, Train F1-Micro 0.970, Validation F1-Micro 0.924
Epoch 47, Loss 0.097, Train Accuracy 0.970, Validation Accuracy 0.924, Train F1-Macro 0.974, Validation F1-Macro 0.923, Train F1-Micro 0.970, Validation F1-Micro 0.923
Epoch 48, Loss 0.095, Train Accuracy 0.970, Validation Accuracy 0.924, Train F1-Macro 0.971, Validation F1-Macro 0.923, Train F1-Micro 0.970, Validation F1-Micro 0.923
Epoch 49, Loss 0.093, Train Accuracy 0.970, Validation Accuracy 0.922, Train F1-Macro 0.971, Validation F1-Macro 0.921, Train F1-Micro 0.970, Validation F1-Micro 0.921
Epoch 50, Loss 0.092, Train Accuracy 0.965, Validation Accuracy 0.924, Train F1-Macro 0.967, Validation F1-Macro 0.924, Train F1-Micro 0.965, Validation F1-Micro 0.924
Epoch 51, Loss 0.091, Train Accuracy 0.975, Validation Accuracy 0.924, Train F1-Macro 0.975, Validation F1-Macro 0.924, Train F1-Micro 0.975, Validation F1-Micro 0.924
Epoch 52, Loss 0.090, Train Accuracy 0.970, Validation Accuracy 0.925, Train F1-Macro 0.971, Validation F1-Macro 0.925, Train F1-Micro 0.970, Validation F1-Micro 0.925
Epoch 53, Loss 0.091, Train Accuracy 0.965, Validation Accuracy 0.923, Train F1-Macro 0.967, Validation F1-Macro 0.923, Train F1-Micro 0.965, Validation F1-Micro 0.923
Epoch 54, Loss 0.093, Train Accuracy 0.985, Validation Accuracy 0.922, Train F1-Macro 0.987, Validation F1-Macro 0.922, Train F1-Micro 0.985, Validation F1-Micro 0.922
Epoch 55, Loss 0.088, Train Accuracy 0.980, Validation Accuracy 0.925, Train F1-Macro 0.982, Validation F1-Macro 0.925, Train F1-Micro 0.980, Validation F1-Micro 0.925
Epoch 56, Loss 0.080, Train Accuracy 0.980, Validation Accuracy 0.926, Train F1-Macro 0.982, Validation F1-Macro 0.926, Train F1-Micro 0.980, Validation F1-Micro 0.926
Epoch 57, Loss 0.076, Train Accuracy 0.980, Validation Accuracy 0.926, Train F1-Macro 0.982, Validation F1-Macro 0.926, Train F1-Micro 0.980, Validation F1-Micro 0.926
Epoch 58, Loss 0.075, Train Accuracy 0.980, Validation Accuracy 0.929, Train F1-Macro 0.982, Validation F1-Macro 0.928, Train F1-Micro 0.980, Validation F1-Micro 0.928
Epoch 59, Loss 0.074, Train Accuracy 0.980, Validation Accuracy 0.929, Train F1-Macro 0.982, Validation F1-Macro 0.928, Train F1-Micro 0.980, Validation F1-Micro 0.928
Epoch 60, Loss 0.073, Train Accuracy 0.980, Validation Accuracy 0.928, Train F1-Macro 0.982, Validation F1-Macro 0.927, Train F1-Micro 0.980, Validation F1-Micro 0.927
Epoch 61, Loss 0.072, Train Accuracy 0.980, Validation Accuracy 0.929, Train F1-Macro 0.982, Validation F1-Macro 0.928, Train F1-Micro 0.980, Validation F1-Micro 0.928
Epoch 62, Loss 0.071, Train Accuracy 0.980, Validation Accuracy 0.929, Train F1-Macro 0.982, Validation F1-Macro 0.929, Train F1-Micro 0.980, Validation F1-Micro 0.929
Epoch 63, Loss 0.071, Train Accuracy 0.980, Validation Accuracy 0.929, Train F1-Macro 0.982, Validation F1-Macro 0.928, Train F1-Micro 0.980, Validation F1-Micro 0.928


=======================================================
2 layers
Epoch 0, Loss 2.764, Train Accuracy 0.735, Validation Accuracy 0.713, Train F1-Macro 0.742, Validation F1-Macro 0.716, Train F1-Micro 0.735, Validation F1-Micro 0.716
Epoch 1, Loss 0.840, Train Accuracy 0.850, Validation Accuracy 0.799, Train F1-Macro 0.850, Validation F1-Macro 0.798, Train F1-Micro 0.850, Validation F1-Micro 0.798
Epoch 2, Loss 0.675, Train Accuracy 0.885, Validation Accuracy 0.844, Train F1-Macro 0.885, Validation F1-Macro 0.843, Train F1-Micro 0.885, Validation F1-Micro 0.843
Epoch 3, Loss 0.521, Train Accuracy 0.910, Validation Accuracy 0.870, Train F1-Macro 0.910, Validation F1-Macro 0.869, Train F1-Micro 0.910, Validation F1-Micro 0.869
Epoch 4, Loss 0.455, Train Accuracy 0.905, Validation Accuracy 0.880, Train F1-Macro 0.904, Validation F1-Macro 0.879, Train F1-Micro 0.905, Validation F1-Micro 0.879
Epoch 5, Loss 0.427, Train Accuracy 0.910, Validation Accuracy 0.881, Train F1-Macro 0.912, Validation F1-Macro 0.880, Train F1-Micro 0.910, Validation F1-Micro 0.880
Epoch 6, Loss 0.421, Train Accuracy 0.910, Validation Accuracy 0.883, Train F1-Macro 0.914, Validation F1-Macro 0.882, Train F1-Micro 0.910, Validation F1-Micro 0.882
Epoch 7, Loss 0.381, Train Accuracy 0.910, Validation Accuracy 0.878, Train F1-Macro 0.911, Validation F1-Macro 0.877, Train F1-Micro 0.910, Validation F1-Micro 0.877
Epoch 8, Loss 0.389, Train Accuracy 0.930, Validation Accuracy 0.890, Train F1-Macro 0.934, Validation F1-Macro 0.889, Train F1-Micro 0.930, Validation F1-Micro 0.889
Epoch 9, Loss 0.401, Train Accuracy 0.910, Validation Accuracy 0.881, Train F1-Macro 0.916, Validation F1-Macro 0.879, Train F1-Micro 0.910, Validation F1-Micro 0.879
Epoch 10, Loss 0.420, Train Accuracy 0.925, Validation Accuracy 0.897, Train F1-Macro 0.932, Validation F1-Macro 0.896, Train F1-Micro 0.925, Validation F1-Micro 0.896
Epoch 11, Loss 0.390, Train Accuracy 0.905, Validation Accuracy 0.867, Train F1-Macro 0.909, Validation F1-Macro 0.866, Train F1-Micro 0.905, Validation F1-Micro 0.866
Epoch 12, Loss 0.416, Train Accuracy 0.920, Validation Accuracy 0.890, Train F1-Macro 0.924, Validation F1-Macro 0.889, Train F1-Micro 0.920, Validation F1-Micro 0.889
Epoch 13, Loss 0.435, Train Accuracy 0.920, Validation Accuracy 0.878, Train F1-Macro 0.920, Validation F1-Macro 0.876, Train F1-Micro 0.920, Validation F1-Micro 0.876
Epoch 14, Loss 0.496, Train Accuracy 0.890, Validation Accuracy 0.852, Train F1-Macro 0.895, Validation F1-Macro 0.849, Train F1-Micro 0.890, Validation F1-Micro 0.849
Epoch 15, Loss 0.454, Train Accuracy 0.925, Validation Accuracy 0.889, Train F1-Macro 0.931, Validation F1-Macro 0.888, Train F1-Micro 0.925, Validation F1-Micro 0.888
Epoch 16, Loss 0.442, Train Accuracy 0.920, Validation Accuracy 0.887, Train F1-Macro 0.927, Validation F1-Macro 0.886, Train F1-Micro 0.920, Validation F1-Micro 0.886
Epoch 17, Loss 0.414, Train Accuracy 0.950, Validation Accuracy 0.900, Train F1-Macro 0.954, Validation F1-Macro 0.899, Train F1-Micro 0.950, Validation F1-Micro 0.899
Epoch 18, Loss 0.318, Train Accuracy 0.935, Validation Accuracy 0.887, Train F1-Macro 0.938, Validation F1-Macro 0.886, Train F1-Micro 0.935, Validation F1-Micro 0.886
Epoch 19, Loss 0.319, Train Accuracy 0.940, Validation Accuracy 0.899, Train F1-Macro 0.943, Validation F1-Macro 0.898, Train F1-Micro 0.940, Validation F1-Micro 0.898
Epoch 20, Loss 0.347, Train Accuracy 0.940, Validation Accuracy 0.885, Train F1-Macro 0.945, Validation F1-Macro 0.884, Train F1-Micro 0.940, Validation F1-Micro 0.884
Epoch 21, Loss 0.336, Train Accuracy 0.935, Validation Accuracy 0.896, Train F1-Macro 0.942, Validation F1-Macro 0.895, Train F1-Micro 0.935, Validation F1-Micro 0.895
Epoch 22, Loss 0.333, Train Accuracy 0.930, Validation Accuracy 0.897, Train F1-Macro 0.935, Validation F1-Macro 0.897, Train F1-Micro 0.930, Validation F1-Micro 0.897
Epoch 23, Loss 0.338, Train Accuracy 0.900, Validation Accuracy 0.856, Train F1-Macro 0.904, Validation F1-Macro 0.856, Train F1-Micro 0.900, Validation F1-Micro 0.856
