=======================================================
pubmed
Epoch 66, Loss 1.055, Train Accuracy 0.447, Validation Accuracy 0.419, Train F1-Macro 0.324, Validation F1-Macro 0.306, Train F1-Micro 0.447, Validation F1-Micro 0.306
Epoch 67, Loss 1.055, Train Accuracy 0.447, Validation Accuracy 0.419, Train F1-Macro 0.324, Validation F1-Macro 0.306, Train F1-Micro 0.447, Validation F1-Micro 0.306
Epoch 68, Loss 1.055, Train Accuracy 0.449, Validation Accuracy 0.420, Train F1-Macro 0.325, Validation F1-Macro 0.307, Train F1-Micro 0.449, Validation F1-Micro 0.307
Epoch 69, Loss 1.055, Train Accuracy 0.450, Validation Accuracy 0.421, Train F1-Macro 0.326, Validation F1-Macro 0.308, Train F1-Micro 0.450, Validation F1-Micro 0.308
Epoch 70, Loss 1.055, Train Accuracy 0.451, Validation Accuracy 0.421, Train F1-Macro 0.327, Validation F1-Macro 0.308, Train F1-Micro 0.451, Validation F1-Micro 0.308
Epoch 71, Loss 1.054, Train Accuracy 0.450, Validation Accuracy 0.424, Train F1-Macro 0.327, Validation F1-Macro 0.311, Train F1-Micro 0.450, Validation F1-Micro 0.311
Epoch 72, Loss 1.054, Train Accuracy 0.451, Validation Accuracy 0.424, Train F1-Macro 0.328, Validation F1-Macro 0.311, Train F1-Micro 0.451, Validation F1-Micro 0.311
Epoch 73, Loss 1.054, Train Accuracy 0.451, Validation Accuracy 0.424, Train F1-Macro 0.328, Validation F1-Macro 0.311, Train F1-Micro 0.451, Validation F1-Micro 0.311
Epoch 74, Loss 1.054, Train Accuracy 0.451, Validation Accuracy 0.424, Train F1-Macro 0.328, Validation F1-Macro 0.311, Train F1-Micro 0.451, Validation F1-Micro 0.311
Epoch 75, Loss 1.054, Train Accuracy 0.451, Validation Accuracy 0.425, Train F1-Macro 0.328, Validation F1-Macro 0.312, Train F1-Micro 0.451, Validation F1-Micro 0.312
Epoch 76, Loss 1.054, Train Accuracy 0.451, Validation Accuracy 0.424, Train F1-Macro 0.328, Validation F1-Macro 0.311, Train F1-Micro 0.451, Validation F1-Micro 0.311
Epoch 77, Loss 1.054, Train Accuracy 0.452, Validation Accuracy 0.425, Train F1-Macro 0.329, Validation F1-Macro 0.312, Train F1-Micro 0.452, Validation F1-Micro 0.312
Epoch 78, Loss 1.054, Train Accuracy 0.451, Validation Accuracy 0.425, Train F1-Macro 0.329, Validation F1-Macro 0.312, Train F1-Micro 0.451, Validation F1-Micro 0.312
Epoch 79, Loss 1.054, Train Accuracy 0.449, Validation Accuracy 0.425, Train F1-Macro 0.327, Validation F1-Macro 0.312, Train F1-Micro 0.449, Validation F1-Micro 0.312
Epoch 80, Loss 1.053, Train Accuracy 0.450, Validation Accuracy 0.423, Train F1-Macro 0.328, Validation F1-Macro 0.311, Train F1-Micro 0.450, Validation F1-Micro 0.311
Epoch 81, Loss 1.053, Train Accuracy 0.449, Validation Accuracy 0.424, Train F1-Macro 0.327, Validation F1-Macro 0.311, Train F1-Micro 0.449, Validation F1-Micro 0.311
Epoch 82, Loss 1.053, Train Accuracy 0.449, Validation Accuracy 0.423, Train F1-Macro 0.327, Validation F1-Macro 0.311, Train F1-Micro 0.449, Validation F1-Micro 0.311
Epoch 83, Loss 1.053, Train Accuracy 0.449, Validation Accuracy 0.423, Train F1-Macro 0.327, Validation F1-Macro 0.311, Train F1-Micro 0.449, Validation F1-Micro 0.311
Epoch 84, Loss 1.053, Train Accuracy 0.450, Validation Accuracy 0.422, Train F1-Macro 0.328, Validation F1-Macro 0.310, Train F1-Micro 0.450, Validation F1-Micro 0.310
Epoch 85, Loss 1.053, Train Accuracy 0.450, Validation Accuracy 0.422, Train F1-Macro 0.328, Validation F1-Macro 0.310, Train F1-Micro 0.450, Validation F1-Micro 0.310
Epoch 86, Loss 1.053, Train Accuracy 0.448, Validation Accuracy 0.422, Train F1-Macro 0.327, Validation F1-Macro 0.310, Train F1-Micro 0.448, Validation F1-Micro 0.310
Epoch 87, Loss 1.053, Train Accuracy 0.450, Validation Accuracy 0.424, Train F1-Macro 0.329, Validation F1-Macro 0.312, Train F1-Micro 0.450, Validation F1-Micro 0.312
Epoch 88, Loss 1.053, Train Accuracy 0.450, Validation Accuracy 0.424, Train F1-Macro 0.329, Validation F1-Macro 0.312, Train F1-Micro 0.450, Validation F1-Micro 0.312
Epoch 89, Loss 1.053, Train Accuracy 0.450, Validation Accuracy 0.424, Train F1-Macro 0.328, Validation F1-Macro 0.312, Train F1-Micro 0.450, Validation F1-Micro 0.312
Epoch 90, Loss 1.052, Train Accuracy 0.449, Validation Accuracy 0.426, Train F1-Macro 0.328, Validation F1-Macro 0.313, Train F1-Micro 0.449, Validation F1-Micro 0.313
Epoch 91, Loss 1.052, Train Accuracy 0.449, Validation Accuracy 0.424, Train F1-Macro 0.328, Validation F1-Macro 0.312, Train F1-Micro 0.449, Validation F1-Micro 0.312
Epoch 92, Loss 1.052, Train Accuracy 0.449, Validation Accuracy 0.424, Train F1-Macro 0.328, Validation F1-Macro 0.312, Train F1-Micro 0.449, Validation F1-Micro 0.312
Epoch 93, Loss 1.052, Train Accuracy 0.450, Validation Accuracy 0.423, Train F1-Macro 0.329, Validation F1-Macro 0.311, Train F1-Micro 0.450, Validation F1-Micro 0.311
Epoch 94, Loss 1.052, Train Accuracy 0.450, Validation Accuracy 0.422, Train F1-Macro 0.329, Validation F1-Macro 0.311, Train F1-Micro 0.450, Validation F1-Micro 0.311
Epoch 95, Loss 1.052, Train Accuracy 0.451, Validation Accuracy 0.422, Train F1-Macro 0.329, Validation F1-Macro 0.311, Train F1-Micro 0.451, Validation F1-Micro 0.311
Epoch 96, Loss 1.052, Train Accuracy 0.452, Validation Accuracy 0.422, Train F1-Macro 0.330, Validation F1-Macro 0.311, Train F1-Micro 0.452, Validation F1-Micro 0.311
Epoch 97, Loss 1.052, Train Accuracy 0.453, Validation Accuracy 0.423, Train F1-Macro 0.331, Validation F1-Macro 0.312, Train F1-Micro 0.453, Validation F1-Micro 0.312
Epoch 98, Loss 1.052, Train Accuracy 0.452, Validation Accuracy 0.421, Train F1-Macro 0.330, Validation F1-Macro 0.311, Train F1-Micro 0.452, Validation F1-Micro 0.311
Epoch 99, Loss 1.051, Train Accuracy 0.452, Validation Accuracy 0.422, Train F1-Macro 0.330, Validation F1-Macro 0.312, Train F1-Micro 0.452, Validation F1-Micro 0.312
Epoch 100, Loss 1.051, Train Accuracy 0.451, Validation Accuracy 0.423, Train F1-Macro 0.330, Validation F1-Macro 0.312, Train F1-Micro 0.451, Validation F1-Micro 0.312
Epoch 101, Loss 1.051, Train Accuracy 0.451, Validation Accuracy 0.424, Train F1-Macro 0.330, Validation F1-Macro 0.313, Train F1-Micro 0.451, Validation F1-Micro 0.313
Epoch 102, Loss 1.051, Train Accuracy 0.451, Validation Accuracy 0.424, Train F1-Macro 0.330, Validation F1-Macro 0.313, Train F1-Micro 0.451, Validation F1-Micro 0.313
Epoch 103, Loss 1.051, Train Accuracy 0.451, Validation Accuracy 0.426, Train F1-Macro 0.330, Validation F1-Macro 0.315, Train F1-Micro 0.451, Validation F1-Micro 0.315
Epoch 104, Loss 1.051, Train Accuracy 0.451, Validation Accuracy 0.427, Train F1-Macro 0.330, Validation F1-Macro 0.316, Train F1-Micro 0.451, Validation F1-Micro 0.316
Epoch 105, Loss 1.051, Train Accuracy 0.453, Validation Accuracy 0.426, Train F1-Macro 0.331, Validation F1-Macro 0.315, Train F1-Micro 0.453, Validation F1-Micro 0.315
Epoch 106, Loss 1.051, Train Accuracy 0.453, Validation Accuracy 0.427, Train F1-Macro 0.331, Validation F1-Macro 0.316, Train F1-Micro 0.453, Validation F1-Micro 0.316
Epoch 107, Loss 1.051, Train Accuracy 0.454, Validation Accuracy 0.426, Train F1-Macro 0.332, Validation F1-Macro 0.315, Train F1-Micro 0.454, Validation F1-Micro 0.315
Epoch 108, Loss 1.051, Train Accuracy 0.455, Validation Accuracy 0.426, Train F1-Macro 0.333, Validation F1-Macro 0.315, Train F1-Micro 0.455, Validation F1-Micro 0.315
Epoch 109, Loss 1.050, Train Accuracy 0.454, Validation Accuracy 0.426, Train F1-Macro 0.332, Validation F1-Macro 0.315, Train F1-Micro 0.454, Validation F1-Micro 0.315
Epoch 110, Loss 1.050, Train Accuracy 0.456, Validation Accuracy 0.425, Train F1-Macro 0.334, Validation F1-Macro 0.314, Train F1-Micro 0.456, Validation F1-Micro 0.314
Epoch 111, Loss 1.050, Train Accuracy 0.457, Validation Accuracy 0.424, Train F1-Macro 0.335, Validation F1-Macro 0.314, Train F1-Micro 0.457, Validation F1-Micro 0.314
Epoch 112, Loss 1.050, Train Accuracy 0.456, Validation Accuracy 0.423, Train F1-Macro 0.334, Validation F1-Macro 0.313, Train F1-Micro 0.456, Validation F1-Micro 0.313
Epoch 113, Loss 1.050, Train Accuracy 0.456, Validation Accuracy 0.423, Train F1-Macro 0.334, Validation F1-Macro 0.313, Train F1-Micro 0.456, Validation F1-Micro 0.313
Epoch 114, Loss 1.050, Train Accuracy 0.457, Validation Accuracy 0.424, Train F1-Macro 0.335, Validation F1-Macro 0.314, Train F1-Micro 0.457, Validation F1-Micro 0.314
Epoch 115, Loss 1.050, Train Accuracy 0.459, Validation Accuracy 0.425, Train F1-Macro 0.336, Validation F1-Macro 0.315, Train F1-Micro 0.459, Validation F1-Micro 0.315
Epoch 116, Loss 1.050, Train Accuracy 0.459, Validation Accuracy 0.425, Train F1-Macro 0.336, Validation F1-Macro 0.315, Train F1-Micro 0.459, Validation F1-Micro 0.315
Epoch 117, Loss 1.050, Train Accuracy 0.458, Validation Accuracy 0.425, Train F1-Macro 0.335, Validation F1-Macro 0.315, Train F1-Micro 0.458, Validation F1-Micro 0.315
Epoch 118, Loss 1.049, Train Accuracy 0.459, Validation Accuracy 0.425, Train F1-Macro 0.336, Validation F1-Macro 0.315, Train F1-Micro 0.459, Validation F1-Micro 0.315
Epoch 119, Loss 1.049, Train Accuracy 0.459, Validation Accuracy 0.425, Train F1-Macro 0.336, Validation F1-Macro 0.315, Train F1-Micro 0.459, Validation F1-Micro 0.315
Epoch 120, Loss 1.049, Train Accuracy 0.459, Validation Accuracy 0.425, Train F1-Macro 0.336, Validation F1-Macro 0.315, Train F1-Micro 0.459, Validation F1-Micro 0.315
Epoch 121, Loss 1.049, Train Accuracy 0.458, Validation Accuracy 0.425, Train F1-Macro 0.336, Validation F1-Macro 0.315, Train F1-Micro 0.458, Validation F1-Micro 0.315
Epoch 122, Loss 1.049, Train Accuracy 0.457, Validation Accuracy 0.424, Train F1-Macro 0.335, Validation F1-Macro 0.314, Train F1-Micro 0.457, Validation F1-Micro 0.314
Epoch 123, Loss 1.049, Train Accuracy 0.456, Validation Accuracy 0.424, Train F1-Macro 0.334, Validation F1-Macro 0.314, Train F1-Micro 0.456, Validation F1-Micro 0.314
Epoch 124, Loss 1.049, Train Accuracy 0.458, Validation Accuracy 0.423, Train F1-Macro 0.336, Validation F1-Macro 0.313, Train F1-Micro 0.458, Validation F1-Micro 0.313
Epoch 125, Loss 1.049, Train Accuracy 0.458, Validation Accuracy 0.423, Train F1-Macro 0.336, Validation F1-Macro 0.313, Train F1-Micro 0.458, Validation F1-Micro 0.313
Epoch 126, Loss 1.049, Train Accuracy 0.459, Validation Accuracy 0.423, Train F1-Macro 0.336, Validation F1-Macro 0.313, Train F1-Micro 0.459, Validation F1-Micro 0.313
Epoch 127, Loss 1.048, Train Accuracy 0.459, Validation Accuracy 0.424, Train F1-Macro 0.336, Validation F1-Macro 0.314, Train F1-Micro 0.459, Validation F1-Micro 0.314
Epoch 128, Loss 1.048, Train Accuracy 0.459, Validation Accuracy 0.423, Train F1-Macro 0.336, Validation F1-Macro 0.313, Train F1-Micro 0.459, Validation F1-Micro 0.313
Epoch 129, Loss 1.048, Train Accuracy 0.459, Validation Accuracy 0.424, Train F1-Macro 0.336, Validation F1-Macro 0.314, Train F1-Micro 0.459, Validation F1-Micro 0.314
Epoch 130, Loss 1.048, Train Accuracy 0.460, Validation Accuracy 0.426, Train F1-Macro 0.337, Validation F1-Macro 0.316, Train F1-Micro 0.460, Validation F1-Micro 0.316
Epoch 131, Loss 1.048, Train Accuracy 0.461, Validation Accuracy 0.425, Train F1-Macro 0.338, Validation F1-Macro 0.315, Train F1-Micro 0.461, Validation F1-Micro 0.315
Epoch 132, Loss 1.048, Train Accuracy 0.461, Validation Accuracy 0.424, Train F1-Macro 0.338, Validation F1-Macro 0.314, Train F1-Micro 0.461, Validation F1-Micro 0.314
Epoch 133, Loss 1.048, Train Accuracy 0.460, Validation Accuracy 0.424, Train F1-Macro 0.337, Validation F1-Macro 0.314, Train F1-Micro 0.460, Validation F1-Micro 0.314
Epoch 134, Loss 1.048, Train Accuracy 0.461, Validation Accuracy 0.424, Train F1-Macro 0.338, Validation F1-Macro 0.314, Train F1-Micro 0.461, Validation F1-Micro 0.314
Epoch 135, Loss 1.048, Train Accuracy 0.461, Validation Accuracy 0.424, Train F1-Macro 0.338, Validation F1-Macro 0.314, Train F1-Micro 0.461, Validation F1-Micro 0.314
Epoch 136, Loss 1.048, Train Accuracy 0.461, Validation Accuracy 0.423, Train F1-Macro 0.338, Validation F1-Macro 0.314, Train F1-Micro 0.461, Validation F1-Micro 0.314
Epoch 137, Loss 1.047, Train Accuracy 0.462, Validation Accuracy 0.423, Train F1-Macro 0.339, Validation F1-Macro 0.314, Train F1-Micro 0.462, Validation F1-Micro 0.314
Epoch 138, Loss 1.047, Train Accuracy 0.462, Validation Accuracy 0.424, Train F1-Macro 0.339, Validation F1-Macro 0.314, Train F1-Micro 0.462, Validation F1-Micro 0.314
Epoch 139, Loss 1.047, Train Accuracy 0.463, Validation Accuracy 0.423, Train F1-Macro 0.340, Validation F1-Macro 0.314, Train F1-Micro 0.463, Validation F1-Micro 0.314
