=======================================================
784-50-10
Epoch 49, Loss 0.132, Train Accuracy 0.956, Validation Accuracy 0.940, Train F1-Macro 0.955, Validation F1-Macro 0.940, Train F1-Micro 0.956, Validation F1-Micro 0.940
Epoch 50, Loss 0.130, Train Accuracy 0.960, Validation Accuracy 0.940, Train F1-Macro 0.959, Validation F1-Macro 0.940, Train F1-Micro 0.960, Validation F1-Micro 0.940


=======================================================
784-100-10
Epoch 0, Loss 1.868, Train Accuracy 0.738, Validation Accuracy 0.740, Train F1-Macro 0.732, Validation F1-Macro 0.732, Train F1-Micro 0.738, Validation F1-Micro 0.732
Epoch 1, Loss 0.951, Train Accuracy 0.822, Validation Accuracy 0.828, Train F1-Macro 0.822, Validation F1-Macro 0.826, Train F1-Micro 0.822, Validation F1-Micro 0.826
Epoch 2, Loss 0.567, Train Accuracy 0.871, Validation Accuracy 0.867, Train F1-Macro 0.869, Validation F1-Macro 0.865, Train F1-Micro 0.871, Validation F1-Micro 0.865
Epoch 3, Loss 0.444, Train Accuracy 0.889, Validation Accuracy 0.888, Train F1-Macro 0.889, Validation F1-Macro 0.886, Train F1-Micro 0.889, Validation F1-Micro 0.886
Epoch 4, Loss 0.388, Train Accuracy 0.900, Validation Accuracy 0.895, Train F1-Macro 0.899, Validation F1-Macro 0.894, Train F1-Micro 0.900, Validation F1-Micro 0.894
Epoch 5, Loss 0.351, Train Accuracy 0.911, Validation Accuracy 0.902, Train F1-Macro 0.910, Validation F1-Macro 0.900, Train F1-Micro 0.911, Validation F1-Micro 0.900
Epoch 6, Loss 0.329, Train Accuracy 0.906, Validation Accuracy 0.906, Train F1-Macro 0.906, Validation F1-Macro 0.904, Train F1-Micro 0.906, Validation F1-Micro 0.904
Epoch 7, Loss 0.309, Train Accuracy 0.917, Validation Accuracy 0.909, Train F1-Macro 0.916, Validation F1-Macro 0.907, Train F1-Micro 0.917, Validation F1-Micro 0.907
Epoch 8, Loss 0.296, Train Accuracy 0.922, Validation Accuracy 0.912, Train F1-Macro 0.921, Validation F1-Macro 0.911, Train F1-Micro 0.922, Validation F1-Micro 0.911
Epoch 9, Loss 0.287, Train Accuracy 0.919, Validation Accuracy 0.914, Train F1-Macro 0.918, Validation F1-Macro 0.912, Train F1-Micro 0.919, Validation F1-Micro 0.912
